Слово,Пиньинь,Перевод слова
['阿姨'],['āyí'],"['тётя по маме; тётя, тётушка (обращение); мачеха; няня; служанка, уборщица']"
['啊'],['ā; á; ǎ; à; a'],"['межд., выражает удивление или восхищение; о!, ого!; межд., выражает вопрос или просьбу повторить еще раз; а?, ну?']"
['矮'],['ǎi'],"['низкий, невысокий']"
['矮小'],['ǎixiǎo'],"['маленький, низкий, низкорослый']"
['爱国'],['ài guó'],['любитьродину; отечественный']
['爱护'],['àihù'],['беречь; любить; проявлять заботу']
['安'],['ān'],"['безопасный, тихий, спокойный; успокаивать; хранить, питать']"
['安置'],['ānzhì'],"['потавить на место; поселять, размещать; устанавливать; укладывать в постель; размещение']"
['按时'],['ànshí'],"['вовремя, в срок']"
['暗'],['àn'],"['прил./нареч. тёмный, мрачный; сумеречный; тусклый; без света; глубокий (о цвете, оттенке); темно']"
['暗示'],['ànshì'],['намекнуть; предложить; предложение; намек']
['巴士'],['bāshì'],['диал. автобус']
['百货'],['bǎihuò'],['универсальные товары']
['摆'],['bǎi'],"['расставлять, располагать; стоять; лежать (о вещах); показать; махать; качаться; маятник']"
['摆动'],['bǎidòng'],"['качаться, колебаться']"
['摆脱'],['bǎituō'],"['отделаться от...; освободиться; выскользнуть из, ускользнуть от; избавиться,выбраться']"
['败'],['bài'],"['терпеть неудачу, проигрывать, быть побежденным; одерживать победу']"
['办事'],['bànshì'],"['работать над вопросом, вести дело']"
['包裹'],['bāoguǒ'],['упаковывать; перевязывать; посылка']
['包含'],['bāohán'],"['содержать в себе; включать; заключать, таить в себе; содержащий в себе; включающий']"
['包括'],['bāokuò'],"['содержать, охватывать, включать (в себя); включительно, включая, в том числе']"
['薄'],['báo'],['тонкий; жидкий; слабый']
['宝'],['bǎo'],"['сокровище, роскошь, драгоценность, бриллиант. Алмаз; бриллиантовый']"
['宝宝'],['bǎobao'],"['милый, дорогой; ребенок']"
['宝贝'],['bǎobèi'],"['ценная вещь, сокровище; дорогой, любимый; золотко, малыш']"
['宝贵'],['bǎoguì'],"['ценный, драгоценный; дорогой']"
['宝石'],['bǎoshí'],['драгоценный камень']
['保密'],['bǎo mì'],['сохранять тайну; держать в секрете; соблюдать конспирацию; обеспечивать скрытность']
['保守'],['bǎoshǒu'],['сохранять; соблюдать; придерживаться старых взглядов; консервативный']
['抱'],['bào'],['держать двумя руками; нести; обнимать']
['背景'],['bèijǐng'],['задний план; фон; подоплёка; изнанка']
['倍'],['bèi'],"['удваиваться, увеличиваться в несколько раз; раз, крат']"
['被迫'],['bèipò'],['быть вынужденным']
['本科'],['běnkē'],"['основные предметы (преподавания в учебных заведениях, в противоположность факультативным); основной курс; офиц. наше отделение, наш отдел (факультет); бакалавриат, бакалавр']"
['笨'],['bèn'],"['глупый, тупой, неуклюжий']"
['比分'],['bǐfēn'],['спорт. счет']
['毕业'],['bì yè'],"['заканчивать, окончание (про школу, курс, университет)']"
['毕业生'],['bìyèshēng'],['выпускник']
['避'],['bì'],"['избегать, предотвращать, держаться в стороне от']"
['避免'],['bìmiǎn'],"['избегать; избавляться от, обходить']"
['编'],['biān'],"['плести; редактировать, составлять; писать, сочинять']"
['辩论'],['biànlùn'],"['дебатировать, дискутировать; прения, дебаты; диспут']"
['标志'],['biāozhì'],"['знак, указатель, отметка, символ; логотип; обозначать']"
['表情'],['biǎoqíng'],"['выражать чувства; выражение лица, мимика; экспрессия; смайлик']"
['表扬'],['biǎoyáng'],['отмечать; поощрять; признавать заслуги; прославлять; хвалить; благодарность; поощрение; признание; похвала']
['别'],['bié'],"['покидать, оставлять; различать;']"
['冰'],['bīng'],['лед']
['冰箱'],['bīngxiāng'],['холодильник']
['冰雪'],['bīngxuě'],['лед и снег']
['兵'],['bīng'],"['солдат; армия; оружие, вооружение; военное дело, война']"
['并'],['bìng'],['стоять бок о бок; объединять(ся)']
['不要紧'],['búyàojǐn'],"['неважно; несущественно!; не обращайте внимания! ничего, ничего!']"
['不在乎'],['búzàihu'],"['не придавать значения, относиться безразлично']"
['不管'],['bùguǎn'],['несмотря на ); независимо от того; как бы ни; не интересоваться ч-л']
['不然'],['bùrán'],['в противном случае; иначе; не так']
['布置'],['bùzhì'],"['расставлять, располагать; оформлять; распределить; спланировать']"
['步行'],['bùxíng'],['идти пешком; пешком; ходьба']
['擦'],['cā'],['вытирать; тереть; чистить']
['才'],['cái'],"['талант, способность']"
['材料'],['cáiliào'],"['материалы, данные']"
['财产'],['cáichǎn'],"['имущество, собственность; достояние; богатство, средства; инвентарь']"
['财富'],['cáifù'],"['богатство, состояние, блага, ценности']"
['采访'],['cǎifǎng'],"['брать интервью; репортаж, вести репортаж; собирать информацию']"
['参考'],['cānkǎo'],"['наводить справки, справляться (по книгам, документам), сверять, удостоверяться; материал к..., справочные данные о..., литература, справка, справочный, вспомогательный; обратиться к…']"
['参与'],['cānyù'],['принимать активное участие; участвовать']
['操场'],['cāochǎng'],['спортивная площадка; учебный плац']
['操作'],['cāozuò'],['трудиться; процесс работы; труд; работа; операция']
['测'],['cè'],"['исследовать, измерять, испытывать']"
['测量'],['cèliáng'],['измерять; измерительный']
['测试'],['cèshì'],"['проверять, измерять; проверка, измерение']"
['曾'],['céng'],"['уже некогда; как-то раз; в своё время); многослойный, нагромождённый; массивный, тяжёлый']"
['茶叶'],['cháyè'],"['чай, чайный лист']"
['产品'],['chǎnpǐn'],"['продукция, продукт производства, изделие']"
['长途'],['chángtú'],"['длинная дорога, долгий путь']"
['常识'],['chángshí'],"['элементарные познания, грамотность (в чем- либо); общее представление (о предмете)']"
['唱片'],['chàngpiàn'],['граммофонная пластинка']
['抄'],['chāo'],"['грабить; отбирать; переписывать, снимать копию; списывать; совершать плагиат; проходить (кратчайшим путём), срезать угол']"
['抄写'],['chāoxiě'],['переписывать']
['潮'],['cháo'],"['волна, тенденция; сырой, влажный; (диал.) неумелый; (сленг) модный']"
['潮流'],['cháoliú'],['прилив; перен. веяние; течение']
['潮湿'],['cháoshī'],"['влажный, сырой, промокший; промокать; увлажняться']"
['彻底'],['chèdǐ'],"['до конца, до самого дна, основательно, насквозь; полностью, окончательно; доскональный, предельный']"
['沉'],['chén'],"['тяжелый; глубокий; мрачный; тонуть, погружаться (в воду); сдерживать; предаваться']"
['沉默'],['chénmò'],['молчать; молчание; молчаливый']
['沉重'],['chénzhòng'],"['серьёзный; тяжёлый; сумрачный, гнетущий']"
['称赞'],['chēngzàn'],"['одобрять; расхваливать, восхищаться; превозносить; похвала; хвала, одобрение']"
['成人'],['chéngrén'],['стать взрослым; взрослый']
['诚实'],['chéngshí'],"['правдивый, честный, искренний']"
['诚信'],['chéngxìn'],"['честный, добросовестный']"
['承担'],['chéngdān'],"['брать на себя, отвечать за что-либо, нести']"
['承认'],['chéngrèn'],"['признавать(-ся); положительный акцепт, признание']"
['承受'],['chéngshòu'],"['выдержать, подвергнуться; удостоиться; получать; принимать; наследовать']"
['程序'],['chéngxù'],['порядок; распорядок; процедура; (тех.) программа']
['吃惊'],['chī jīng'],['перепугаться; изумиться; поразиться']
['迟到'],['chídào'],['опаздывать']
