character,pinyin,definitions
挨着,āizhe,"прижиматься, быть около; вплотную, прижавшись; рядом; вслед, следуя за…"
挨,ái,"подтвергаться, испытывать; страдать; терпеть; переживать; тянуть, выжидать, откладывать"
挨打,áidǎ,"терпеть побои, быть побитым"
安检,ānjiǎn,проверка безопасности
罢工,bà gōng,забастовка; бастовать; стачка
罢了,bàle,в конце повествовательного предложения: и только!; и дело с концом!; только и всего!; и всё!; и баста!
白领,báilǐng,"белый воротничок, офисный работник"
百分点,bǎifēndiǎn,процентный пункт
办公,bàn gōng,заниматься служебными делами; служить; работать (о служащих); рабочий (об инвентаре)
办事处,bànshìchù,"агентсво; представительст;офис, управление (орган)"
办学,bànxué,"управлять школой (университетом), вести школу; организовать обучение, наладить обучение"
半决赛,bànjuésài,полуфинал
傍晚,bàngwǎn,"к вечеру, под вечер; в сумерках"
保健,bǎojiàn,заботиться о здоровье; здравоохранение; охрана здоровья
报刊,bàokān,"газеты и журналы, периодическая печать"
报考,bàokǎo,сдавать вступительный экзамен; зарегестрироваться на экзамен
抱歉,bàoqiàn,сожалеть; выразить сожаление
暴风雨,bàofēngyǔ,"буря, ливень с сильным ветром"
暴力,bàolì,"насилие; грубая сила; ожесточённый, яростный"
暴露,bàolù,"вскрыть, обнажить, раскрыть; обнаружиться, раскрыться"
暴雨,bàoyǔ,"ливень, проливной дождь"
爆,bào,"слегка отваривать, быстро обжаривать"
爆发,bàofā,извергаться; извержение; разразиться; вспыхнуть; взрыв
爆炸,bàozhà,"взорвать; детонировать; взрыв; взрывной, эксплозивный; взорваться; разорваться; взрывчатый"
悲惨,bēicǎn,"горестный, трагический"
背心,bèixīn,"жилет, безрукавка, майка, борцовка"
背着,bèizhe,"спиной к; за спиной,тайно; по памяти"
被告,bèigào,"обвиняемый, подсудимый, ответчик"
奔跑,bēnpǎo,"бежать, мчаться, нестись"
本,běn,"по существу, в сущности; собственно, собственно говоря; в общем-то; первоначально, сначала; в истоке"
本地,běndì,данная местность
本期,běnqī,"текущий период; данный семестр; данный номер (периодики), настоящий выпуск"
本身,běnshēn,"сам (по себе), как таковой; лично, самолично; свой, собственный"
本土,běntǔ,родные края; метрополия; местная почва
本质,běnzhì,"сущность, суть, существо"
逼,bī,"принуждать, заставлять; вымогать; приближаться, подходить близко"
笔试,bǐshì,письменный экзамен
必将,bìjiāng,"обязательно, непременно"
必修,bìxiū,"обязательный, облигаторный"
闭,bì,закрывать; завершать
边缘,biānyuán,край; грань; граница
编制,biānzhì,"организовать; комплектовать, формировать; штат (служащих)"
扁,biǎn,плоский; сплющенный; приплюснутый
变更,biàngēng,изменять
变换,biànhuàn,"изменяться; трансформироваться, преобразовывать"
变形,biàn xíng,"искривляться, деформироваться; видоизменяться"
便,biàn,"удобный; обычный; мирный, спокойный; и тогда, и сразу же"
便是,biànshì,"быть именно, быть точно, быть совершенно как; даже если, пусть даже"
遍地,biàndì,"везде на земле, повсюду"
表面上,biǎomiàn shang,"с внешней стороны, внешне, поверхностно; внешний, поверхностный; на первый взгляд; формально"
病房,bìngfáng,"больничная палата, комната больного"
