Слово,Пиньинь,Перевод слова
['安慰'],['ānwèi'],['утешать; успокаивать; проявлять забота; отправлять подарки; утешение']
['岸'],['àn'],"['берег, суша; прибрежный, сухопутный; темница, тюрьма; высокий, заметный,гордый']"
['岸上'],['ànshang'],['на берегу']
['按摩'],['ànmó'],['массаж; массировать']
['拔'],['bá'],"['вытягивать, вырывать; захватывать, брать']"
['白酒'],['báijiǔ'],"['китайская водка, ханшин; ханжа']"
['拜访'],['bàifǎng'],"['нанести визит, посетить; навестить, проведать; побывать с визитом']"
['版'],['bǎn'],"['издание, страница, раздел, полоса (в газете)']"
['扮演'],['bànyǎn'],"['играть роль, исполнять роль; выступать в роли; играть на сцене']"
['棒'],['bàng'],"['палка, стержень; классный, здоровский']"
['包围'],['bāowéi'],['окружать; осаждать; блокировать; окружение; осада; блокада']
['包装'],['bāozhuāng'],"['завёртывать, обвёртывать, упаковывать, укупоривать; упаковка, укупорка; упаковочный; завёрточный; оформление']"
['保卫'],['bǎowèi'],"['охранять, защищать; оберегать; отстаивать; охранительный']"
['保养'],['bǎoyǎng'],"['ухаживать, беречь, поддерживать; заботиться (о здоровье); обслуживать (технику), тех. обслуживание']"
['报答'],['bàodá'],"['отплатить, вознаградить, отблагодарить']"
['报警'],['bào jǐng'],"['донести полиции; бить тревогу; сигнализировать об опасности ; сигнализация, оповещение']"
['抱怨'],['bàoyuàn'],"['жаловаться, выражать недовольство; сетовать, пенять; затаить обиду, обидеться']"
['背包'],['bēibāo'],"['рюкзак, ранец']"
['悲剧'],['bēijù'],['трагедия']
['悲伤'],['bēishāng'],"['грустный, печальный, скорбный']"
['北极'],['běijí'],['Северный полюс']
['被动'],['bèidòng'],"['зависимый, ведомый, пассивный']"
['辈'],['bèi'],"['поколение; (книжн.) тип (людей); жизнь, время жизни']"
['本人'],['běnrén'],"['я; я сам; лично; человек, о котором идёт речь;']"
['鼻子'],['bízi'],['нос']
['比方'],['bǐfang'],"['сравнение, метафора; аллегория; пример; например; к примеру']"
['比重'],['bǐzhòng'],['удельный вес; процент; пропорция']
['彼此'],['bǐcǐ'],['и тот и другой; обе стороны; взаимно; (в удвоении вежл.) желаю Вам того же!; и Вы тоже! И Вас также!']
['必'],['bì'],"['непременно, обязательно; должен, обязан']"
['必需'],['bìxū'],"['быть необходимым, быть важным и незаменимым для']"
['毕竟'],['bìjìng'],"['в конце концов, наконец, всё-таки, всё же, как-никак']"
['闭幕'],['bì mù'],"['опускаться (о занавесе)закрывать (напр., встречу, церемонию), заканчивать (напр., представление, игру)']"
