character,pinyin,definitions
爱,ài,любить; любовь
爱好,àihào,хобби
八,bā,"8, восемь"
爸爸｜爸,"bàba, bà","папа, отец"
吧,ba,"частица, 1. выражает предложение что-либо сделать: -ка, давай, ну 2. выражает предположение: наверное"
白,bái,белый
白天,báitiān,"днем, дневное время"
百,bǎi,"100, сто"
班,bān,"класс, команда"
半,bàn,половина
半年,bànnián,"полгода, полугодие"
半天,bàntiān,"половина дня, полдня"
帮,bāng,помогать
帮忙,bāng máng,помогать
包,bāo,"обертывать, заворачивать; сумка"
包子,bāozi,"баоцзы, паровые пирожки"
杯,bēi,"сущ./сч.слово кружка, стакан; рюмка"
杯子,bēizi,"стакан, чашка"
北,běi,север
北边,běibian,северная сторона
北京,Běijīng,Пекин
本,běn,"1. корень, ствол 2. сч. слово для книг и тетрадей"
本子,běnzi,"тетрадь, блокнот"
比,bǐ,"сравнивать, по сравнению с…"
别,bié,1. не надо 2. другой
别的,biéde,"другой, иной, чужой"
别人,biérén,"другой, постороннее лицо; другие, посторонние"
病,bìng,"болеть, быть больным; болезнь; дефект, недостаток, минус"
病人,bìngrén,"пациент, больной"
不大,bú dà,"небольшой; не очень; не часто, редко"
不对,búduì,"неверно, ошибочный, неправильный"
不客气,bú kèqi,"пожалуйста, не стоит благодарности (в ответ на ""спасибо"")"
不用,búyòng,"не нужно, нет необходимости, не; не использовать"
不,bù,"нет, не"
菜,cài,"блюдо, овощи, кухня"
茶,chá,чай
差,chà,"без (напр, без десяти семь); отличаться;недоставать"
常,cháng,часто
常常,chángcháng,"часто, обычно"
唱,chàng,петь
唱歌,chàng gē,петь (песню)
车,chē,"любое средство передвижения на колёсах (транспортное средство), напр. машина, велосипед, вагон, поезд"
车票,chēpiào,(проездной) билет
车上,chē shang,"в автобусе, в машине"
车站,chēzhàn,"автобусная остановка, ж/д станция, вокзал"
吃,chī,"кушать, есть"
吃饭,chī fàn,"есть, кушать, есть рис"
出,chū,"выходить наружу; указывает направление действия наружу, вовне; указывает создание, обнаружение, появление чего-либо"
出来,"chū lái, chū lai","выходить; появиться; глагольный суффикс, модификатор результативных глаголов: направление действия изнутри наружу и к говорящему лицу"
出去,"chū qù, chū qu","выходить; глагольный суффикс, модификатор результативных глаголов при основах, указывает на направление действия изнутри наружу от говорящего лица"
穿,chuān,"носить, надевать (одежду);"
床,chuáng,кровать
次,cì,сч.слово раз
从,cóng,"из, с..., через"
错,cuò,"ошибка, ошибаться"
打,dǎ,"бить, ударять; разбиваться; наносить удар; играть (в карты, видеоигры и т.п.); звонить (по телефону)"
打车,dǎ chē,брать такси; ловить попутную машину
打电话,dǎ diànhuà,звонить по телефону
打开,dǎ kāi,"открывать, разворачивать"
打球,dǎqiú,играть в мяч
大,dà,"большой, старший"
大学,dàxué,университет
大学生,dàxuéshēng,студент
到,dào,"достигать, добираться (результативная морфема после глаголов)"
得到,dé dào,"получать, приобретать, добиваться"
地,de,суффикс наречий; показатель обстоятельства образа действия
的,de,притяжательная частица
等,děng,ждать
